[INFO] 2015-06-11 11:05:50 | 开始执行:cap cap_demo -init
[INFO] 2015-06-11 11:05:50 | CAP load conf/cap_demo.properties complete.
[INFO] 2015-06-11 11:05:50 | CAP load conf/db_conf.properties complete.
[INFO] 2015-06-11 11:05:50 | 正在清除历史.
[INFO] 2015-06-11 11:05:50 | 正在清除历史完成!
[INFO] 2015-06-11 11:05:50 | 正在初始化DataSource.
[DEBUG] 2015-06-11 11:05:50 | cap.ds.driverClassName:org.postgresql.Driver
[DEBUG] 2015-06-11 11:05:50 | cap.ds.username:postgres
[DEBUG] 2015-06-11 11:05:50 | cap.ds.password:************
[DEBUG] 2015-06-11 11:05:50 | cap.ds.url:jdbc:postgresql://192.168.189.138:5432/CAPDB
[DEBUG] 2015-06-11 11:05:50 | cap.ds.initialSize:5
[DEBUG] 2015-06-11 11:05:50 | cap.ds.maxtotal:20
[DEBUG] 2015-06-11 11:05:50 | cap.ds.maxIdle:10
[DEBUG] 2015-06-11 11:05:50 | cap.ds.maxWaitMillis:10000
[DEBUG] 2015-06-11 11:05:50 | cap.ds.minIdle:1
[INFO] 2015-06-11 11:05:50 | 初始化DataSource完成.
[INFO] 2015-06-11 11:05:50 | 正在删除schema[lee5hx]及schema下所有的对象
[INFO] 2015-06-11 11:05:50 | 删除schema[lee5hx]完成!
[INFO] 2015-06-11 11:05:50 | 正在创建schema[lee5hx]
[INFO] 2015-06-11 11:05:50 | 创建schema[lee5hx]完成!
[DEBUG] 2015-06-11 11:05:50 | CategoryList CreateTable:CREATE TABLE lee5hx.CategoryList(Condition_UUID varchar(32),Comb_Order varchar(5),A1 varchar(2),A2 varchar(2),A3 varchar(2),A4x varchar(3),A5x varchar(3));
[INFO] 2015-06-11 11:05:50 | 正在创建CategoryListTable.
[INFO] 2015-06-11 11:05:50 | 创建CategoryListTable完成!
[DEBUG] 2015-06-11 11:05:50 | CategoryList CreateIndex:CREATE INDEX categoryList_CombOrder_index ON lee5hx.CategoryList(Comb_Order);
[INFO] 2015-06-11 11:05:50 | 正在创建CategoryListTable-Index.
[INFO] 2015-06-11 11:05:50 | 创建CategoryListTable-Index完成.
[INFO] 2015-06-11 11:05:50 | 正在生成InsertCategorySQL.
[INFO] 2015-06-11 11:05:53 | 生成InsertCategorySQL完成.
[INFO] 2015-06-11 11:05:53 | 正在将../tmp/lee5hx.CategoryList.cvs,以Copy_Insert方式批量插入.
[INFO] 2015-06-11 11:05:53 | ../tmp/lee5hx.CategoryList.cvs,以Copy_Insert批量插入完成!
[INFO] 2015-06-11 11:05:53 | Cap Init CategoryList 运行成功!
[INFO] 2015-06-11 11:11:25 | 开始执行:cap cap_demo -init
[INFO] 2015-06-11 11:11:25 | CAP load conf/cap_demo.properties complete.
[INFO] 2015-06-11 11:11:25 | CAP load conf/db_conf.properties complete.
[INFO] 2015-06-11 11:11:25 | 正在清除历史.
[INFO] 2015-06-11 11:11:25 | 正在清除历史完成!
[INFO] 2015-06-11 11:11:25 | 正在初始化DataSource.
[DEBUG] 2015-06-11 11:11:25 | cap.ds.driverClassName:org.postgresql.Driver
[DEBUG] 2015-06-11 11:11:25 | cap.ds.username:postgres
[DEBUG] 2015-06-11 11:11:25 | cap.ds.password:************
[DEBUG] 2015-06-11 11:11:25 | cap.ds.url:jdbc:postgresql://192.168.189.138:5432/CAPDB
[DEBUG] 2015-06-11 11:11:25 | cap.ds.initialSize:5
[DEBUG] 2015-06-11 11:11:25 | cap.ds.maxtotal:20
[DEBUG] 2015-06-11 11:11:25 | cap.ds.maxIdle:10
[DEBUG] 2015-06-11 11:11:25 | cap.ds.maxWaitMillis:10000
[DEBUG] 2015-06-11 11:11:25 | cap.ds.minIdle:1
[INFO] 2015-06-11 11:11:25 | 初始化DataSource完成.
[INFO] 2015-06-11 11:11:25 | 正在删除schema[lee5hx]及schema下所有的对象
[INFO] 2015-06-11 11:11:25 | 删除schema[lee5hx]完成!
[INFO] 2015-06-11 11:11:25 | 正在创建schema[lee5hx]
[INFO] 2015-06-11 11:11:25 | 创建schema[lee5hx]完成!
[DEBUG] 2015-06-11 11:11:25 | CategoryList CreateTable:CREATE TABLE lee5hx.CategoryList(Condition_UUID varchar(32),Comb_Order varchar(5),A1 varchar(2),A2 varchar(2),A3 varchar(2),A4x varchar(3),A5x varchar(3));
[INFO] 2015-06-11 11:11:25 | 正在创建CategoryListTable.
[INFO] 2015-06-11 11:11:25 | 创建CategoryListTable完成!
[DEBUG] 2015-06-11 11:11:25 | CategoryList CreateIndex:CREATE INDEX categoryList_CombOrder_index ON lee5hx.CategoryList(Comb_Order);
[INFO] 2015-06-11 11:11:25 | 正在创建CategoryListTable-Index.
[INFO] 2015-06-11 11:11:25 | 创建CategoryListTable-Index完成.
[INFO] 2015-06-11 11:11:25 | 正在生成InsertCategorySQL.
[INFO] 2015-06-11 11:11:28 | 生成InsertCategorySQL完成.
[INFO] 2015-06-11 11:11:28 | 正在将../tmp/lee5hx.CategoryList.cvs,以Copy_Insert方式批量插入.
[INFO] 2015-06-11 11:11:29 | ../tmp/lee5hx.CategoryList.cvs,以Copy_Insert批量插入完成!
[INFO] 2015-06-11 11:11:29 | Cap Init CategoryList 运行成功!
